State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
Missouri,saline,23010.0,11372.0,11638.0,4.8282442416340725,3.7329856584093872,0.0,0.5143198609300305,5.447027379400261,16886.0,42073.75,6985.125,21862.875,2672.125,17.0967666232073,25.85816166883964,30.040312907431556,19.269243807040418,19.319821816601475,9.855506301607996,21.504250325945243,79.1890656236419,12.665015210777923,0.7422816166883964,2.66464146023468,1.4312342459800085,3.3065667101260323,16.8375,10546.0,76.5700260756193,16.146857887874834,7.151547153411559,0.10904823989569752,4.604085180356367
Missouri,schuyler,4450.0,2204.0,2246.0,0.0,0.7077303370786517,0.0,0.0,0.0,3246.0,38865.5,4495.0,19961.5,2749.0,18.444202247191015,25.763528089887643,27.30505617977528,16.176808988764044,22.788898876404495,14.048067415730335,19.733101123595507,84.34588764044943,8.357977528089888,0.15579775280898875,1.7403370786516854,1.3613483146067415,4.086719101123596,25.4,1911.0,69.40485393258426,18.062539325842696,11.896134831460675,0.6403370786516854,6.017146067415731
Missouri,scotland,4883.0,2382.0,2501.0,0.0,0.0,0.0,0.0,0.2915830432111407,3501.0,43338.0,9483.0,23210.5,3880.5,16.724247388900267,25.915257014130656,34.47489248412862,17.756625025599018,17.391583043211142,16.101146835961497,14.317407331558467,70.0055498668851,12.451505222199467,0.0,0.8248208068810158,2.6416547204587344,14.07646938357567,19.549999999999997,2156.0,71.0089903747696,12.348924841286095,16.116977268072905,0.5834527954126562,4.49942658201925
Missouri,scott,38858.0,18844.0,20014.0,0.7231380925420763,1.8617684904009468,0.11125894281743785,0.0,0.1725925163415513,29350.0,43505.5,6328.4,23437.8,3990.2,20.092014514385713,30.33561428792012,27.418773482937876,19.050972772659428,23.655033712491633,11.060944979154872,18.819247001904372,81.80780276905656,12.080943435071287,0.20705903546245302,1.4296669926398682,0.8788589222296567,3.5999073549848166,19.740000000000002,17102.0,81.61561068505841,11.604850995933912,6.622039219723095,0.16880951155489218,6.046103762417006
Missouri,shannon,8273.0,4048.0,4225.0,0.44427656231113255,1.5049679680889638,0.2852411458962891,0.0,0.04262057294814457,6435.0,31222.5,4433.5,18146.5,2069.0,30.529517708207422,44.86400338450381,24.35241145896289,14.895032031911036,13.152411458962892,16.406623957451952,31.19352109271123,81.7593255167412,9.301510939199806,0.8278617188444336,1.6245497401184579,1.8638583343406263,4.637652604859181,25.3,2901.0,69.73311978725977,21.784951045569926,7.9983440106370125,0.4262057294814457,7.991865103348241
Missouri,shelby,6084.0,3053.0,3031.0,0.3198389217619987,0.784681130834977,0.3198389217619987,0.5235042735042735,0.08722879684418144,4624.0,42749.0,7370.666666666667,22396.333333333332,2369.3333333333335,15.437541091387246,27.835618014464167,27.639119000657463,15.810223537146614,21.05982905982906,18.202350427350428,17.328747534516765,77.13030900723209,8.083464825772518,0.23380999342537803,5.689480604865221,0.5452333990795529,8.306508875739645,21.53333333333333,2938.0,74.41489151873768,12.367767915844839,13.038149243918475,0.1791913214990138,4.882478632478633
Missouri,st. charles,385102.0,189361.0,195741.0,0.5961350499348225,1.9238804264844125,0.2875199297848362,0.0756446344085463,0.8656641617026138,284705.0,79452.82051282052,9197.461538461539,35444.57692307692,3867.2051282051284,5.745589999532591,7.948655161489683,42.705952189290116,14.344309040202335,26.00360398024419,7.3584465933700685,9.59863153138649,86.12578096192696,6.398679051264341,0.21924087644312415,0.8456276518948227,0.816997314997066,5.587353220705162,25.235897435897446,206970.0,87.22760852968824,8.785993580921419,3.9011199630227837,0.0896931202642417,3.657718993928881
Missouri,st. clair,9396.0,4744.0,4652.0,0.13384418901660283,0.7785014899957428,0.2106853980417199,0.0,0.03346104725415071,7617.0,34655.0,3753.0,20847.0,2222.0,22.20381013197105,34.52030651340996,29.218326947637294,20.309663686675183,18.616687952320135,16.90191570881226,14.953405704555127,73.74110259684973,8.859174116645379,0.0,4.276351638995317,2.1627075351213283,10.949595572584078,29.833333333333332,3406.0,73.33957002979992,14.431204767986378,11.656321839080459,0.5786292039165603,8.009429544487014
Missouri,st. francois,66248.0,35790.0,30458.0,0.3686994324356962,1.0458051563820794,0.0875784929356358,0.06362305277140443,0.2937069798333535,51727.0,43191.27272727273,7136.909090909091,21858.81818181818,2734.909090909091,15.520720625528316,18.29253109527835,25.64866260113513,23.474519985508998,22.843824719236807,11.130992633739886,16.94247071609709,83.77517359014612,12.762424526023427,0.07046703296703295,1.203322364448738,0.6438111339210241,1.5299797729742786,25.1,26288.0,76.06085013887213,19.566879000120757,3.987961900736626,0.39129030310348994,6.538446443666224
Missouri,st. louis,999539.0,474110.0,525429.0,0.8802107771682746,1.6139286210943247,0.29608719619744706,0.09971786993804144,0.7721585650985104,747276.0,71152.93969849247,10249.89447236181,37507.91959798995,4649.829145728643,9.825577491223454,13.152536019104808,43.903777441400486,16.04224237373429,25.681113593366543,5.125387603685299,9.25113767446793,82.69249093832255,6.998353841120756,2.8899466654127552,1.4087144173463968,1.1193922398225582,4.892257130537177,24.199497487437196,496931.0,86.68289021238792,8.728474826895198,4.406326416477996,0.17960559818076133,5.990944725518464
